Genre	Path
blues	../root/dataset/genres/blues/blues.00013.au
blues	../root/dataset/genres/blues/blues.00041.au
blues	../root/dataset/genres/blues/blues.00071.au
blues	../root/dataset/genres/blues/blues.00033.au
blues	../root/dataset/genres/blues/blues.00089.au
blues	../root/dataset/genres/blues/blues.00019.au
blues	../root/dataset/genres/blues/blues.00069.au
blues	../root/dataset/genres/blues/blues.00048.au
blues	../root/dataset/genres/blues/blues.00067.au
blues	../root/dataset/genres/blues/blues.00003.au
blues	../root/dataset/genres/blues/blues.00026.au
blues	../root/dataset/genres/blues/blues.00080.au
blues	../root/dataset/genres/blues/blues.00078.au
blues	../root/dataset/genres/blues/blues.00057.au
blues	../root/dataset/genres/blues/blues.00043.au
blues	../root/dataset/genres/blues/blues.00093.au
blues	../root/dataset/genres/blues/blues.00085.au
blues	../root/dataset/genres/blues/blues.00049.au
blues	../root/dataset/genres/blues/blues.00077.au
blues	../root/dataset/genres/blues/blues.00022.au
blues	../root/dataset/genres/blues/blues.00092.au
blues	../root/dataset/genres/blues/blues.00018.au
blues	../root/dataset/genres/blues/blues.00005.au
blues	../root/dataset/genres/blues/blues.00065.au
blues	../root/dataset/genres/blues/blues.00056.au
blues	../root/dataset/genres/blues/blues.00053.au
blues	../root/dataset/genres/blues/blues.00038.au
blues	../root/dataset/genres/blues/blues.00007.au
blues	../root/dataset/genres/blues/blues.00040.au
blues	../root/dataset/genres/blues/blues.00070.au
blues	../root/dataset/genres/blues/blues.00037.au
blues	../root/dataset/genres/blues/blues.00052.au
blues	../root/dataset/genres/blues/blues.00023.au
blues	../root/dataset/genres/blues/blues.00042.au
blues	../root/dataset/genres/blues/blues.00029.au
blues	../root/dataset/genres/blues/blues.00073.au
blues	../root/dataset/genres/blues/blues.00064.au
blues	../root/dataset/genres/blues/blues.00079.au
blues	../root/dataset/genres/blues/blues.00082.au
blues	../root/dataset/genres/blues/blues.00031.au
blues	../root/dataset/genres/blues/blues.00008.au
blues	../root/dataset/genres/blues/blues.00016.au
blues	../root/dataset/genres/blues/blues.00091.au
blues	../root/dataset/genres/blues/blues.00020.au
blues	../root/dataset/genres/blues/blues.00025.au
blues	../root/dataset/genres/blues/blues.00072.au
blues	../root/dataset/genres/blues/blues.00009.au
blues	../root/dataset/genres/blues/blues.00012.au
blues	../root/dataset/genres/blues/blues.00088.au
blues	../root/dataset/genres/blues/blues.00002.au
blues	../root/dataset/genres/blues/blues.00001.au
blues	../root/dataset/genres/blues/blues.00083.au
blues	../root/dataset/genres/blues/blues.00027.au
